schemaVersion	1
identity	kind	ownerBubble	namespace	name	signature	tier	status	prelude	documentation
primitive:0	Primitive	Pop.Internal	Pop	Boolean	Boolean	prelude	implemented	true	architecture/02-language-model.md
primitive:1	Primitive	Pop.Internal	Pop	Int8	Int8	prelude	implemented	true	architecture/02-language-model.md
primitive:2	Primitive	Pop.Internal	Pop	Int16	Int16	prelude	implemented	true	architecture/02-language-model.md
primitive:3	Primitive	Pop.Internal	Pop	Int32	Int32	prelude	implemented	true	architecture/02-language-model.md
primitive:4	Primitive	Pop.Internal	Pop	Int64	Int64	prelude	implemented	true	architecture/02-language-model.md
primitive:5	Primitive	Pop.Internal	Pop	UInt8	UInt8	prelude	implemented	true	architecture/02-language-model.md
primitive:6	Primitive	Pop.Internal	Pop	UInt16	UInt16	prelude	implemented	true	architecture/02-language-model.md
primitive:7	Primitive	Pop.Internal	Pop	UInt32	UInt32	prelude	implemented	true	architecture/02-language-model.md
primitive:8	Primitive	Pop.Internal	Pop	UInt64	UInt64	prelude	implemented	true	architecture/02-language-model.md
primitive:9	Primitive	Pop.Internal	Pop	Int	Int	prelude	implemented	true	architecture/02-language-model.md
primitive:10	Primitive	Pop.Internal	Pop	Float32	Float32	prelude	implemented	true	architecture/02-language-model.md
primitive:11	Primitive	Pop.Internal	Pop	Float64	Float64	prelude	implemented	true	architecture/02-language-model.md
primitive:12	Primitive	Pop.Internal	Pop	Float	Float	prelude	implemented	true	architecture/02-language-model.md
primitive:13	Primitive	Pop.Internal	Pop	Byte	Byte	prelude	implemented	true	architecture/02-language-model.md
primitive:14	Primitive	Pop.Internal	Pop	String	String	prelude	implemented	true	architecture/02-language-model.md
primitive:15	Primitive	Pop.Internal	Pop	Never	Never	prelude	implemented	true	architecture/02-language-model.md
primitive:16	Primitive	Pop.Internal	Pop	Rune	Rune	prelude	implemented	true	architecture/decisions/0114-unicode-scalar-value-and-text-access.md
type:0	Type	Pop.Internal	Pop	Bytes	Bytes	prelude	implemented	true	architecture/16-base-libraries.md
type:1	Type	Pop.Internal	Pop	Array	Array<T>	prelude	implemented	true	architecture/02-language-model.md
type:2	Type	Pop.Internal	Pop	Table	Table<K,V>	prelude	implemented	true	architecture/02-language-model.md
type:100	Type	Pop.Standard	Pop	Result	Result<T,TError>	prelude	implemented	true	architecture/decisions/0052-typed-results-errors-and-scoped-cleanup.md
type:101	Type	Pop.Standard	Pop	List	List<T>	prelude	implemented	true	architecture/decisions/0053-nominal-iteration-sequences-and-growable-lists.md
type:102	Type	Pop.Standard	Pop	Set	Set<T>	prelude	implemented	true	architecture/16-base-libraries.md
type:103	Type	Pop.Standard	Pop	Range	Range<TInteger>	prelude	implemented	true	architecture/decisions/0056-first-class-integer-ranges.md
type:104	Type	Pop.Standard	Pop	Task	Task<T>	prelude	implemented	true	architecture/decisions/0068-typed-async-tasks-actors-and-distribution.md
type:106	Type	Pop.Standard	Pop	Iterable	Iterable<T>	prelude	implemented	true	architecture/decisions/0053-nominal-iteration-sequences-and-growable-lists.md
type:107	Type	Pop.Standard	Pop	Iterator	Iterator<T>	prelude	implemented	true	architecture/decisions/0053-nominal-iteration-sequences-and-growable-lists.md
type:108	Type	Pop.Standard	Pop	Equal	Equal<T>	prelude	implemented	true	architecture/16-base-libraries.md
type:109	Type	Pop.Standard	Pop	Order	Order<T>	prelude	implemented	true	architecture/16-base-libraries.md
type:110	Type	Pop.Standard	Pop	Hash	Hash<T>	prelude	implemented	true	architecture/16-base-libraries.md
type:111	Type	Pop.Standard	Pop	Close	Close	prelude	implemented	true	architecture/16-base-libraries.md
type:112	Type	Pop.Standard	Pop	AsyncClose	AsyncClose	prelude	implemented	true	architecture/decisions/0068-typed-async-tasks-actors-and-distribution.md
type:113	Type	Pop.Standard	Pop	Iteration	Iteration<T>	prelude	implemented	true	architecture/decisions/0053-nominal-iteration-sequences-and-growable-lists.md
type:114	Type	Pop.Standard	Pop	CancelToken	CancelToken	prelude	implemented	true	architecture/decisions/0068-typed-async-tasks-actors-and-distribution.md
type:115	Type	Pop.Standard	Pop.Task	Group	Task.Group	standard	implemented	false	architecture/decisions/0079-native-task-frame-and-cancellation-abi.md
type:116	Type	Pop.Standard	Pop.Task	CancelSource	Task.CancelSource	standard	implemented	false	architecture/decisions/0079-native-task-frame-and-cancellation-abi.md
type:117	Type	Pop.Standard	Pop.Metadata	Use	Metadata.Use	standard	implemented	false	architecture/decisions/0096-generated-retained-metadata-adapters.md
type:118	Type	Pop.Standard	Pop.Codec	Schema	Codec.Schema<T>	standard	implemented	false	architecture/decisions/0096-generated-retained-metadata-adapters.md
type:119	Type	Pop.Standard	Pop.Codec	Writer	Codec.Writer	standard	implemented	false	architecture/decisions/0096-generated-retained-metadata-adapters.md
type:120	Type	Pop.Standard	Pop.Codec	Reader	Codec.Reader	standard	implemented	false	architecture/decisions/0096-generated-retained-metadata-adapters.md
type:121	Type	Pop.Standard	Pop.Codec	Error	Codec.Error	standard	implemented	false	architecture/decisions/0096-generated-retained-metadata-adapters.md
type:122	Type	Pop.Standard	Pop.Bytes	View	Bytes.View	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
type:123	Type	Pop.Standard	Pop.Text	View	Text.View	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
type:124	Type	Pop.Standard	Pop.Bytes	Buffer	Bytes.Buffer	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
type:125	Type	Pop.Standard	Pop.Channel	Sender	Channel.Sender<T>	standard	implemented	false	architecture/decisions/0147-directional-bounded-channel-api.md
type:126	Type	Pop.Standard	Pop.Channel	Receiver	Channel.Receiver<T>	standard	implemented	false	architecture/decisions/0147-directional-bounded-channel-api.md
type:127	Type	Pop.Standard	Pop.Channel	SendOutcome	Channel.SendOutcome	standard	implemented	false	architecture/decisions/0147-directional-bounded-channel-api.md
type:128	Type	Pop.Standard	Pop.Channel	ReceiveOutcome	Channel.ReceiveOutcome<T>	standard	implemented	false	architecture/decisions/0147-directional-bounded-channel-api.md
type:129	Type	Pop.Standard	Pop.Actor	Ref	Actor.Ref<TMessage>	standard	implemented	false	architecture/decisions/0149-compiler-proven-actor-message-safety.md
type:130	Type	Pop.Standard	Pop.Actor	Inbox	Actor.Inbox<TMessage>	standard	implemented	false	architecture/decisions/0149-compiler-proven-actor-message-safety.md
type:131	Type	Pop.Standard	Pop.Actor	Reply	Actor.Reply<T>	standard	implemented	false	architecture/decisions/0149-compiler-proven-actor-message-safety.md
type:137	Type	Pop.Standard	Pop.Actor	SendOutcome	Actor.SendOutcome	standard	implemented	false	architecture/decisions/0166-typed-local-actor-mailboxes.md
type:138	Type	Pop.Standard	Pop.Net.Tcp	Listener	Net.Tcp.Listener	standard	implemented	false	architecture/decisions/0167-typed-loopback-net-transport-adapters.md
type:139	Type	Pop.Standard	Pop.Net.Tcp	Stream	Net.Tcp.Stream	standard	implemented	false	architecture/decisions/0167-typed-loopback-net-transport-adapters.md
type:140	Type	Pop.Standard	Pop.Net.Udp	Socket	Net.Udp.Socket	standard	implemented	false	architecture/decisions/0167-typed-loopback-net-transport-adapters.md
type:141	Type	Pop.Standard	Pop.Net	SocketIoOutcome	Net.SocketIoOutcome	standard	implemented	false	architecture/decisions/0167-typed-loopback-net-transport-adapters.md
type:142	Type	Pop.Standard	Pop.Net.Tcp	Receive	Net.Tcp.Receive	standard	implemented	false	architecture/decisions/0167-typed-loopback-net-transport-adapters.md
type:143	Type	Pop.Standard	Pop.Net.Udp	Datagram	Net.Udp.Datagram	standard	implemented	false	architecture/decisions/0167-typed-loopback-net-transport-adapters.md
type:144	Type	Pop.Standard	Pop.Net	Transfer	Net.Transfer	standard	implemented	false	architecture/decisions/0169-bounded-owning-bytes-transport-abi.md
type:145	Type	Pop.Standard	Pop.Net.Udp	Transfer	Net.Udp.Transfer	standard	implemented	false	architecture/decisions/0169-bounded-owning-bytes-transport-abi.md
type:146	Type	Pop.Standard	Pop.Net.Dns	Resolver	Net.Dns.Resolver	standard	implemented	false	architecture/decisions/0172-bounded-explicit-dns-resolution.md
type:147	Type	Pop.Standard	Pop.Net.Dns	Answers	Net.Dns.Answers	standard	implemented	false	architecture/decisions/0172-bounded-explicit-dns-resolution.md
type:148	Type	Pop.Standard	Pop.Net.Unix	Listener	Net.Unix.Listener	standard	implemented	false	architecture/decisions/0176-unix-domain-stream-transport.md
type:149	Type	Pop.Standard	Pop.Net.Unix	Stream	Net.Unix.Stream	standard	implemented	false	architecture/decisions/0176-unix-domain-stream-transport.md
attribute:0	Attribute	Pop.Standard	Pop	CompileTime	@CompileTime	prelude	implemented	true	architecture/10-udas-compile-time-and-reflection.md
attribute:1	Attribute	Pop.Standard	Pop	AttributeUsage	@AttributeUsage	prelude	implemented	true	architecture/10-udas-compile-time-and-reflection.md
attribute:2	Attribute	Pop.Standard	Pop	AttributeValidator	@AttributeValidator	prelude	implemented	true	architecture/10-udas-compile-time-and-reflection.md
attribute:3	Attribute	Pop.Standard	Pop	RetainMetadata	@RetainMetadata	prelude	implemented	true	architecture/decisions/0096-generated-retained-metadata-adapters.md
namespace:0	Namespace	Pop.Standard	Pop	Sequence	namespace Pop.Sequence	prelude	implemented	true	architecture/decisions/0053-nominal-iteration-sequences-and-growable-lists.md
namespace:1	Namespace	Pop.Standard	Pop	Math	namespace Pop.Math	standard	implemented	false	architecture/decisions/0062-first-portable-integer-math.md
namespace:2	Namespace	Pop.Standard	Pop	Metadata	namespace Pop.Metadata	prelude	implemented	true	architecture/decisions/0096-generated-retained-metadata-adapters.md
namespace:3	Namespace	Pop.Standard	Pop	Codec	namespace Pop.Codec	prelude	implemented	true	architecture/decisions/0096-generated-retained-metadata-adapters.md
namespace:4	Namespace	Pop.Standard	Pop	Random	namespace Pop.Random	standard	implemented	false	architecture/decisions/0126-deterministic-random-state.md
function:0	Function	Pop.Standard	Pop	print	print(Int)->()	prelude	implemented	true	architecture/16-base-libraries.md
function:1	Function	Pop.Standard	Pop	print	print(String)->()	prelude	implemented	true	architecture/16-base-libraries.md
