schemaVersion	1
functionId	sourceName	ownerBubble	parameterTypes	resultTypes	effects	prelude
0	print	Pop.Standard	Int	-	AmbientIo	true
1	print	Pop.Standard	String	-	AmbientIo	true
2	Atomic.relaxedLoadOrder	Pop.Standard	-	Atomic.LoadOrder	-	false
3	Atomic.acquireLoadOrder	Pop.Standard	-	Atomic.LoadOrder	-	false
4	Atomic.sequentiallyConsistentLoadOrder	Pop.Standard	-	Atomic.LoadOrder	-	false
5	Atomic.relaxedStoreOrder	Pop.Standard	-	Atomic.StoreOrder	-	false
6	Atomic.releaseStoreOrder	Pop.Standard	-	Atomic.StoreOrder	-	false
7	Atomic.sequentiallyConsistentStoreOrder	Pop.Standard	-	Atomic.StoreOrder	-	false
8	Atomic.relaxedReadModifyWriteOrder	Pop.Standard	-	Atomic.ReadModifyWriteOrder	-	false
9	Atomic.acquireReadModifyWriteOrder	Pop.Standard	-	Atomic.ReadModifyWriteOrder	-	false
10	Atomic.releaseReadModifyWriteOrder	Pop.Standard	-	Atomic.ReadModifyWriteOrder	-	false
11	Atomic.acquireReleaseReadModifyWriteOrder	Pop.Standard	-	Atomic.ReadModifyWriteOrder	-	false
12	Atomic.sequentiallyConsistentReadModifyWriteOrder	Pop.Standard	-	Atomic.ReadModifyWriteOrder	-	false
13	Atomic.int	Pop.Standard	Int	Atomic.Int	Synchronizes	false
14	Atomic.boolean	Pop.Standard	Boolean	Atomic.Boolean	Synchronizes	false
15	Atomic.loadInt	Pop.Standard	Atomic.Int,Atomic.LoadOrder	Int	Synchronizes,MayTrap	false
16	Atomic.loadBoolean	Pop.Standard	Atomic.Boolean,Atomic.LoadOrder	Boolean	Synchronizes,MayTrap	false
17	Atomic.storeInt	Pop.Standard	Atomic.Int,Int,Atomic.StoreOrder	Boolean	Synchronizes	false
18	Atomic.storeBoolean	Pop.Standard	Atomic.Boolean,Boolean,Atomic.StoreOrder	Boolean	Synchronizes	false
19	Atomic.swapInt	Pop.Standard	Atomic.Int,Int,Atomic.ReadModifyWriteOrder	Int	Synchronizes,MayTrap	false
20	Atomic.swapBoolean	Pop.Standard	Atomic.Boolean,Boolean,Atomic.ReadModifyWriteOrder	Boolean	Synchronizes,MayTrap	false
21	Atomic.releaseInt	Pop.Standard	Atomic.Int	Boolean	Synchronizes	false
22	Atomic.releaseBoolean	Pop.Standard	Atomic.Boolean	Boolean	Synchronizes	false
23	Atomic.compareExchangeInt	Pop.Standard	Atomic.Int,Int,Int,Atomic.ReadModifyWriteOrder,Atomic.LoadOrder	Int	Synchronizes,MayTrap	false
24	Atomic.compareExchangeBoolean	Pop.Standard	Atomic.Boolean,Boolean,Boolean,Atomic.ReadModifyWriteOrder,Atomic.LoadOrder	Boolean	Synchronizes,MayTrap	false
25	Actor.mailbox	Pop.Standard	UInt64,UInt64,UInt64	Actor.Inbox<T>	Synchronizes,MayTrap	false
26	Actor.reference	Pop.Standard	Actor.Inbox<T>	Actor.Ref<T>	-	false
27	Actor.trySend	Pop.Standard	Actor.Ref<T>,T	Actor.SendOutcome	Synchronizes,MayTrap	false
28	Actor.tryReceive	Pop.Standard	Actor.Inbox<T>	T?	Synchronizes,MayTrap	false
29	Actor.finish	Pop.Standard	Actor.Inbox<T>	Boolean	Synchronizes	false
30	Actor.release	Pop.Standard	Actor.Inbox<T>	Boolean	Synchronizes	false
31	Actor.sendAccepted	Pop.Standard	Actor.SendOutcome	Boolean	-	false
32	Actor.sendFull	Pop.Standard	Actor.SendOutcome	Boolean	-	false
33	Actor.sendClosed	Pop.Standard	Actor.SendOutcome	Boolean	-	false
34	Actor.sendStale	Pop.Standard	Actor.SendOutcome	Boolean	-	false
35	Net.Tcp.listen	Pop.Standard	UInt16	Net.Tcp.Listener	AmbientIo,MayTrap	false
36	Net.Tcp.listenerLocalPort	Pop.Standard	Net.Tcp.Listener	UInt16	AmbientIo,MayTrap	false
37	Net.Tcp.streamLocalPort	Pop.Standard	Net.Tcp.Stream	UInt16	AmbientIo,MayTrap	false
38	Net.Tcp.connect	Pop.Standard	UInt16	Net.Tcp.Stream	AmbientIo,MayTrap	false
39	Net.Tcp.accept	Pop.Standard	Net.Tcp.Listener	Net.Tcp.Stream?	AmbientIo	false
40	Net.Tcp.sendByte	Pop.Standard	Net.Tcp.Stream,Byte	Net.SocketIoOutcome	AmbientIo,MayTrap	false
41	Net.Tcp.receiveByte	Pop.Standard	Net.Tcp.Stream	Net.Tcp.Receive	AmbientIo,MayTrap	false
42	Net.Tcp.closeListener	Pop.Standard	Net.Tcp.Listener	Boolean	AmbientIo	false
43	Net.Tcp.closeStream	Pop.Standard	Net.Tcp.Stream	Boolean	AmbientIo	false
44	Net.ioProgress	Pop.Standard	Net.SocketIoOutcome	Boolean	-	false
45	Net.ioWouldBlock	Pop.Standard	Net.SocketIoOutcome	Boolean	-	false
46	Net.ioClosed	Pop.Standard	Net.SocketIoOutcome	Boolean	-	false
47	Net.Tcp.received	Pop.Standard	Net.Tcp.Receive	Boolean	-	false
48	Net.Tcp.receivedByte	Pop.Standard	Net.Tcp.Receive	Byte?	-	false
49	Net.Tcp.receiveWouldBlock	Pop.Standard	Net.Tcp.Receive	Boolean	-	false
